Wall time,Step,Value
1710829274.4057527,5,-0.20292514562606812
1710829395.6754782,15,-0.735115647315979
1710829401.4943233,16,0.05364684760570526
1710829442.099137,19,-0.5333492159843445
1710829449.0903845,20,-0.2976650595664978
1710829497.5151608,27,0.0375087708234787
1710829525.8282962,28,4.282151222229004
1710829685.5662613,41,52.679744720458984
1710829811.9624414,48,42.38422775268555
1710829819.3890183,49,86.90657806396484
1710829828.4049776,50,88.32794189453125
1710830149.5488992,63,134.75123596191406
1710830171.0642347,64,99.07337951660156
1710830225.6721103,68,105.67892456054688
1710830258.3249528,71,126.614501953125
1710830264.9353654,72,145.38389587402344
1710830320.6793804,78,157.1790771484375
1710830357.2554173,83,163.4873809814453
1710830453.9530182,90,197.02120971679688
1710830542.2842128,100,233.02261352539062
1710830580.0919867,104,141.65374755859375
1710830605.303977,108,157.0205841064453
1710830986.943268,122,285.42230224609375
1710831036.9607327,126,303.161865234375
1710831045.155597,127,257.42779541015625
1710831048.4364939,129,87.5302505493164
1710831087.7085154,131,212.19493103027344
1710831137.4673805,137,341.68548583984375
1710831202.2370975,145,281.9084167480469
1710831243.4230278,147,388.81884765625
1710831247.1164715,148,326.075927734375
1710831264.7199273,151,232.83570861816406
1710831341.7750556,158,370.11285400390625
1710831366.7670574,161,377.130615234375
1710831371.0393503,163,12.073174476623535
1710831380.319006,165,256.5590515136719
1710831455.2278802,173,434.169921875
1710831778.8421707,178,479.1926574707031
1710831839.2514954,185,499.4447021484375
1710831845.0872047,186,385.6908874511719
1710831915.974454,192,449.6722106933594
1710831936.0817385,193,504.1103820800781
1710832042.1288934,204,546.8477172851562
1710832083.3888962,206,559.3213500976562
1710832180.8312843,214,440.0216979980469
1710832371.6032002,230,543.629150390625
1710832654.645213,245,600.79443359375
1710832680.4802086,246,557.2166748046875
1710832883.0978627,259,492.9939880371094
1710832906.050345,260,646.6255493164062
1710833016.3168898,272,613.5913696289062
1710833040.453661,275,201.956787109375
1710833114.4384413,283,515.3585815429688
1710833132.857491,286,605.1034545898438
1710833170.3504248,289,553.4976806640625
1710833178.1506684,291,435.2525939941406
1710833372.3731983,296,610.9853515625
1710833379.9643197,298,461.5375061035156
1710833395.7035663,299,687.6873168945312
1710833528.8845856,309,654.8097534179688
1710833585.2558377,313,464.8731994628906
1710833611.900282,317,593.6168212890625
1710833631.2808144,319,673.3209228515625
1710833633.4811404,320,377.2149658203125
1710833658.524421,323,741.4716186523438
1710833903.5936666,346,308.8372802734375
1710833908.5391874,347,535.8089599609375
1710834322.3995912,359,17.544326782226562
1710834373.6122856,365,312.076416015625
1710834377.3360891,366,571.3485107421875
1710834401.6415172,367,756.4049682617188
1710834534.5294201,379,688.9146118164062
1710834625.0499613,387,809.6863403320312
1710834701.6283424,391,822.9129638671875
1710834735.54587,393,770.9884643554688
1710834791.3008811,398,793.6142578125
1710834840.550334,403,522.6840209960938
1710834947.6018558,405,653.0243530273438
1710835060.611354,416,657.2119140625
1710835107.33067,422,803.324951171875
1710835108.3034635,423,131.13645935058594
1710835214.1259866,437,425.0397644042969
1710835216.2601018,438,774.8726806640625
1710835227.5749555,440,922.2412109375
1710835304.8903797,447,852.118408203125
1710835363.0943723,453,869.3412475585938
1710835387.052203,457,354.61663818359375
1710835431.8618188,462,705.1533813476562
1710835483.495254,466,626.1452026367188
1710835508.6454096,469,888.3817749023438
1710835527.3084106,471,970.5670166015625
1710835544.810389,475,732.3982543945312
1710835554.5798066,476,975.2272338867188
1710835753.4902444,481,779.524169921875
1710835757.599409,482,749.6517333984375
1710835815.2942142,488,803.3951416015625
1710835990.9875503,511,567.585205078125
1710836015.41471,513,861.2080688476562
1710836040.3898551,514,823.87451171875
1710836051.426592,515,774.4597778320312
1710836079.8880928,518,886.663818359375
1710836111.6694126,520,882.5731811523438
1710836219.8764946,534,830.5853271484375
1710836221.7539158,535,483.05731201171875
1710836247.1719167,537,1003.5799560546875
1710836273.1695096,539,1003.7406005859375
1710836282.361672,541,663.4434814453125
1710836322.313533,545,623.9098510742188
1710836336.895837,547,924.8853149414062
1710836676.5083754,551,902.6351318359375
1710836678.0461545,553,117.13227844238281
1710836699.7513406,557,810.827392578125
1710836780.182313,563,1012.9222412109375
1710836794.804843,565,930.2725830078125
1710836823.6607852,569,922.2061157226562
1710836957.903549,585,487.2655029296875
1710836961.7048728,586,953.510498046875
1710836997.5183744,591,970.5320434570312
1710837058.6382995,595,966.9019165039062
1710837067.2958968,597,639.2091674804688
1710837212.5681167,614,964.442626953125
1710837233.8879716,615,951.1878051757812
1710837303.7897248,623,672.1334228515625
1710837305.9631958,624,555.0194702148438
1710837460.2924812,629,922.069091796875
1710837493.4366288,630,919.968994140625
1710837554.4117715,638,739.9057006835938
1710837597.348656,644,994.4324340820312
1710837608.9186637,645,910.31884765625
1710837641.9228642,650,643.0272827148438
1710837649.696615,652,964.3545532226562
1710837737.1249433,659,846.9549560546875
1710837750.6518235,661,990.760986328125
1710837836.2269208,668,979.8862915039062
1710837883.296996,676,796.3939208984375
1710837890.1684496,677,856.7274169921875
1710837951.4553494,685,925.9369506835938
1710838017.158728,693,864.9319458007812
1710838022.7259052,695,584.1358032226562
1710838248.8150465,711,669.113525390625
1710838322.608489,722,929.5505981445312
1710838345.865673,724,823.6017456054688
1710838373.2707336,726,987.2420043945312
1710838434.9327965,729,961.19140625
1710838441.0558722,730,960.5933227539062
1710838449.9811885,732,959.3539428710938
1710838456.6114366,733,955.62744140625
1710838467.6329339,734,853.9357299804688
1710838512.5088506,739,932.229248046875
1710838566.599454,745,829.8729858398438
1710838645.8949199,765,919.7094116210938
1710838740.9412951,776,977.4779663085938
1710838764.514982,777,1051.7603759765625
1710838793.4321783,781,979.386962890625
1710838805.5988195,783,676.8343505859375
1710838830.8344104,789,922.8451538085938
1710838943.0556707,805,669.4457397460938
1710838960.9550612,806,917.6522216796875
1710838981.9532247,808,391.9604187011719
1710839009.1775296,811,1001.2100830078125
1710839064.7199922,820,844.7622680664062
1710839160.2992709,833,725.6041259765625
1710839224.306258,841,1001.1731567382812
1710839241.208684,844,754.989013671875
1710839329.3490617,858,766.1226196289062
1710839394.439472,863,705.6481323242188
1710839407.108233,867,857.5125122070312
1710839429.5685112,872,664.84814453125
1710839547.6945822,885,784.2559204101562
1710839557.3723528,887,956.3082275390625
1710839642.5720358,896,1110.0224609375
1710839665.0815287,898,1062.366455078125
1710839691.3044498,902,1078.8682861328125
1710839735.524002,909,1066.04296875
1710839860.3705842,931,1165.2249755859375
1710839878.38556,933,810.3917236328125
1710839952.0578768,943,1031.8038330078125
1710839994.1526961,950,1006.908935546875
1710840070.3195467,964,1006.9896240234375
1710840210.3483195,980,1015.3802490234375
1710840223.5051198,983,953.8399658203125
1710840399.7898426,993,960.5463256835938
1710840468.0103705,995,1128.2908935546875
1710840542.4781904,1000,859.5169677734375
1710840557.6383166,1003,754.134521484375
1710840587.3551977,1005,1067.0853271484375
1710840664.4172535,1016,1138.24365234375
1710840722.439919,1023,1149.0982666015625
1710840750.2377396,1027,516.3419189453125
1710840783.0931664,1029,1207.144287109375
1710840841.9846454,1037,1131.0572509765625
1710840863.9234219,1038,1173.4671630859375
1710840992.5509882,1057,1090.1160888671875
1710841169.4104207,1061,810.8757934570312
1710841220.0192227,1071,882.5603637695312
1710841225.0473187,1072,999.4509887695312
1710841230.7884328,1074,848.5292358398438
1710841273.5961118,1078,907.8497924804688
1710841375.3025928,1087,1125.2745361328125
1710841511.663322,1099,925.3154296875
1710841545.7477126,1103,916.56591796875
1710841568.9170587,1105,970.1930541992188
1710841581.9881146,1108,897.542724609375
1710841589.9606242,1110,623.1798706054688
1710841601.5493894,1112,941.1165161132812
1710841667.9936216,1122,819.970458984375
1710841679.8969429,1123,1140.184326171875
1710841709.960539,1126,1046.229248046875
1710841719.3900993,1127,964.4519653320312
1710841742.2247975,1130,885.1069946289062
1710841762.785645,1133,1019.8978271484375
1710841773.7231004,1135,848.0155639648438
1710841828.482743,1140,1174.60400390625
1710841965.5426836,1147,959.52001953125
1710841982.6818144,1152,378.50665283203125
1710841998.905507,1153,1003.384521484375
1710842053.5205977,1165,971.5036010742188
1710842121.6842432,1175,896.129638671875
1710842190.1582062,1177,1196.8414306640625
1710842195.819004,1178,952.527587890625
1710842235.5730636,1185,1000.1996459960938
1710842270.8930457,1190,874.4572143554688
1710842323.924347,1194,1112.5634765625
1710842325.2661457,1195,875.8404541015625
1710842407.4693267,1207,1057.126220703125
1710842448.3031304,1215,1070.3980712890625
1710842463.939646,1219,215.0258026123047
1710842522.8253186,1224,1204.4976806640625
1710842533.9175477,1226,1116.0223388671875
1710842568.4027176,1230,910.995849609375
1710842725.6324952,1245,1142.6837158203125
1710842748.7643962,1247,1118.311279296875
1710842804.317487,1252,900.938720703125
1710842810.7446609,1253,932.80908203125
1710842834.7860746,1255,935.8892822265625
1710842848.4298217,1258,1131.6109619140625
1710842869.2589064,1262,844.6453857421875
1710842912.4596279,1268,1197.8873291015625
1710842923.4889262,1272,915.0311279296875
1710842957.5409853,1277,856.893798828125
1710843035.4975033,1283,1074.67578125
1710843046.1002104,1286,949.2614135742188
1710843083.487701,1291,992.421142578125
1710843103.9354284,1294,735.0575561523438
1710843156.728731,1299,939.601318359375
1710843187.3137639,1303,871.14892578125
1710843205.94608,1307,797.91064453125
1710843261.7386706,1316,959.3218994140625
1710843390.905435,1323,1130.333984375
1710843412.575877,1326,975.2923583984375
1710843414.4576974,1327,860.2747192382812
1710843503.6863475,1336,1138.5452880859375
1710843564.5874903,1346,943.0068969726562
1710843620.1616013,1355,574.8071899414062
1710843682.1727374,1361,956.5072021484375
1710843703.7925317,1365,1055.23486328125
1710843751.7336261,1376,735.2125244140625
1710843754.6963947,1377,772.307373046875
1710843788.957616,1381,1191.000732421875
1710843870.0092797,1394,910.2628173828125
1710844134.3111265,1418,971.6842651367188
1710844279.292492,1437,982.2586669921875
1710844317.4304879,1439,1201.5255126953125
1710844318.884621,1440,885.881103515625
1710844323.9307802,1441,1151.911376953125
1710844396.3647032,1450,864.1549072265625
1710844442.508243,1458,893.2850952148438
1710844472.5314114,1459,1167.5421142578125
1710844484.4429936,1462,1028.083740234375
1710844581.535319,1475,1171.16455078125
1710844590.550556,1477,941.176025390625
1710844708.4403179,1488,1034.9124755859375
1710844732.282656,1491,1061.7999267578125
1710844814.9944994,1495,1210.604736328125
1710844895.001837,1499,1021.2099609375
1710844938.9796371,1503,1109.75732421875
1710844984.3539655,1510,1190.3563232421875
1710844989.9164705,1511,982.156982421875
1710845041.8286119,1514,963.647705078125
1710845061.4753733,1517,1087.721435546875
1710845160.4503663,1529,1088.8658447265625
1710845253.5877748,1535,918.2987060546875
1710845275.0910823,1538,986.0966796875
1710845281.7322686,1539,1037.3223876953125
1710845362.5611646,1549,956.8960571289062
1710845396.7306051,1552,961.8226318359375
1710845455.2765245,1563,1111.763671875
1710845464.1218379,1566,602.994140625
1710845601.5926795,1569,1177.4212646484375
1710845632.1277397,1574,965.7828369140625
1710845684.742629,1577,1057.868896484375
1710845767.28627,1586,1186.6453857421875
1710845844.6530814,1597,1060.9593505859375
1710845865.5769823,1602,953.2232055664062
1710845870.9103546,1604,985.3640747070312
1710846104.7706478,1628,1175.4071044921875
1710846318.9194748,1636,1026.0831298828125
1710846366.3691566,1638,1095.3565673828125
1710846428.37518,1641,1095.349609375
1710846476.620138,1647,1109.7254638671875
1710846481.458518,1648,1024.7440185546875
1710846542.9812045,1655,1133.4815673828125
1710846604.76604,1663,970.9140625
1710846626.1940224,1667,967.7009887695312
1710846666.254943,1671,1011.582763671875
1710846693.144829,1675,1073.2960205078125
1710846729.8167214,1678,1089.0662841796875
1710846737.5936255,1680,890.3958740234375
1710846787.9032884,1686,1032.4432373046875
1710846873.5198011,1695,1190.2545166015625
1710847179.9178011,1703,1112.363525390625
1710847199.7231867,1705,1158.6026611328125
1710847214.7268791,1708,1088.322998046875
1710847237.3494318,1710,1122.5162353515625
1710847244.351131,1711,1046.9073486328125
1710847261.977184,1712,1098.5294189453125
1710847311.1170764,1719,1086.60302734375
1710847348.9967978,1723,1123.6326904296875
1710847359.768142,1724,1182.0682373046875
1710847396.7741542,1731,897.3350219726562
1710847478.422385,1740,1158.005615234375
1710847500.541662,1744,925.5301513671875
