Wall time,Step,Value
1710747387.6918359,154,-47.43351364135742
1710747405.4454308,155,-48.19688415527344
1710747464.0838485,156,-49.29795837402344
1710747511.9927616,157,-50.6170539855957
1710747560.1666706,158,-51.73960876464844
1710747626.0525844,159,-52.39911651611328
1710747693.0720272,160,-53.00926208496094
1710747758.932253,161,-54.06803894042969
1710747760.2595441,162,-55.30995559692383
1710747765.6872787,163,-55.123809814453125
1710747832.3610015,164,-55.18710708618164
1710747894.5296881,165,-55.687095642089844
1710747932.817479,166,-56.94376754760742
1710747990.5875082,167,-57.411773681640625
1710748653.2998686,168,-58.30239486694336
1710748699.5371253,169,-59.39118576049805
1710748761.9383354,170,-59.999271392822266
1710748793.5316284,171,-60.504432678222656
1710748856.535055,172,-61.209224700927734
1710748909.8182328,173,-61.993751525878906
1710748960.5414147,174,-62.866233825683594
1710749023.0359447,175,-63.76094055175781
1710749085.9199393,176,-64.6993179321289
1710749148.1048534,177,-66.17292022705078
1710749210.6491373,178,-66.891845703125
1710749845.9254692,179,-67.96092987060547
1710749898.674996,180,-68.60160827636719
1710749961.4251225,181,-69.62998962402344
1710749968.9408915,182,-70.34364318847656
1710749974.337319,183,-70.22494506835938
1710750036.1116557,184,-71.17196655273438
1710750098.5764165,185,-72.40445709228516
1710750161.8334668,186,-73.48943328857422
1710750181.238184,187,-74.06527709960938
1710750246.2845523,188,-74.9977035522461
1710750309.0601368,189,-76.07609558105469
1710750345.8582811,190,-76.89440155029297
1710750408.9151607,191,-77.68017578125
1710751074.007678,192,-78.31488800048828
1710751119.3629463,193,-79.24290466308594
1710751182.3541064,194,-80.19815063476562
1710751245.498658,195,-81.29086303710938
1710751269.8930242,196,-82.27238464355469
1710751333.7466486,197,-82.97178649902344
1710751345.3684213,198,-83.70755004882812
1710751407.6775115,199,-84.2486572265625
1710751418.7329042,200,-85.10604858398438
1710751435.4723656,201,-85.38847351074219
1710751498.449383,202,-85.6370620727539
1710751561.0807223,203,-86.84028625488281
1710751578.9773068,204,-87.55948638916016
1710751581.1102123,205,-87.28260803222656
1710751643.0262527,206,-88.08357238769531
1710752303.052026,207,-89.2057113647461
1710752305.2037497,208,-88.92780303955078
1710752368.1082335,209,-90.30887603759766
1710752428.075927,210,-91.4595718383789
1710752491.5461605,211,-92.35743713378906
1710752555.309587,212,-93.5631103515625
1710752570.3544636,213,-94.38867950439453
1710752606.589896,214,-94.75184631347656
1710752669.2086701,215,-95.32470703125
1710752731.7260864,216,-96.56793212890625
1710752738.070697,217,-97.15625762939453
1710752764.4510972,218,-97.3065414428711
1710752827.667058,219,-98.16914367675781
1710752877.2543488,220,-99.35977935791016
1710753523.8148394,221,-99.7818603515625
1710753585.9966404,222,-100.84574127197266
1710753648.9441273,223,-102.01448059082031
1710753711.6349149,224,-103.02893829345703
1710753774.1932557,225,-103.76429748535156
1710753836.8629315,226,-104.86992645263672
1710753840.5950055,227,-105.34782409667969
1710753875.549319,228,-105.86441040039062
1710753938.5948775,229,-106.68252563476562
1710754000.8487484,230,-107.91556549072266
1710754063.4014864,231,-108.9574203491211
1710754125.839888,232,-110.01155853271484
1710754730.0261726,233,-111.22220611572266
1710754792.6845357,234,-111.87507629394531
1710754855.158314,235,-112.77849578857422
1710754912.0442796,236,-114.03014373779297
1710754974.6018407,237,-114.92097473144531
1710754999.4115937,238,-115.581298828125
1710755028.7929037,239,-116.0368881225586
1710755090.4906757,240,-116.7789306640625
1710755101.0353682,241,-117.44652557373047
1710755167.7849398,242,-117.97073364257812
1710755183.2689004,243,-118.43885803222656
1710755249.5488598,244,-119.27455139160156
1710755316.1316814,245,-120.30819702148438
1710755987.5840547,246,-121.28812408447266
1710756053.1507108,247,-121.72721099853516
1710756110.6033347,248,-122.54119873046875
1710756175.910868,249,-123.43838500976562
1710756176.3045323,250,-125.59132385253906
1710756235.561434,251,-124.34830474853516
1710756300.968247,252,-125.43840026855469
1710756363.472779,253,-126.65074157714844
1710756403.9038897,254,-127.4201431274414
1710756470.5156364,255,-128.28001403808594
1710756528.1841764,256,-129.1194305419922
1710756593.1632998,257,-130.07278442382812
1710757279.1627324,258,-131.03958129882812
1710757307.579707,259,-131.67430114746094
1710757372.289167,260,-132.57528686523438
1710757438.4240167,261,-133.65211486816406
1710757504.235938,262,-134.9644317626953
1710757570.483147,263,-135.88934326171875
1710757636.5221486,264,-137.02967834472656
1710757699.8125737,265,-138.00897216796875
1710757763.8688765,266,-138.97378540039062
1710757828.3464153,267,-139.98184204101562
1710758501.8801239,268,-140.7224884033203
