Wall time,Step,Value
1710845275.0910382,1538,-60.63287353515625
1710845281.7322109,1539,-59.06313705444336
1710845362.5611143,1549,-60.45020294189453
1710845396.7305448,1552,-51.075950622558594
1710845455.2763429,1563,-49.7551155090332
1710845464.1217716,1566,-61.474884033203125
1710845601.592607,1569,-48.345367431640625
1710845632.1276867,1574,-54.22722244262695
1710845684.7425768,1577,-42.84640884399414
1710845767.2862065,1586,-40.924110412597656
1710845844.6530397,1597,-47.87266540527344
1710845865.5769238,1602,-32.334617614746094
1710845870.910309,1604,-36.41431427001953
1710846104.7705748,1628,-25.054662704467773
1710846318.9194224,1636,-25.86070442199707
1710846366.3691187,1638,-17.06835174560547
1710846428.3751187,1641,-8.412834167480469
1710846476.620085,1647,-10.78706169128418
1710846481.4584646,1648,-6.5214152336120605
1710846542.9811456,1655,-13.66439437866211
1710846604.7659893,1663,-15.94023609161377
1710846626.1939645,1667,-14.153229713439941
1710846666.25489,1671,-10.811619758605957
1710846693.1447756,1675,-3.8217809200286865
1710846729.8166711,1678,-6.570138454437256
1710846737.593548,1680,-17.74774169921875
1710846787.9032362,1686,-10.791626930236816
1710846873.5196202,1695,9.345641136169434
1710847179.9177496,1703,6.311975955963135
1710847199.7231321,1705,4.827649116516113
1710847214.7268486,1708,8.688371658325195
1710847237.3493783,1710,7.764073371887207
1710847244.35108,1711,2.7676870822906494
1710847261.977131,1712,7.7176103591918945
1710847311.1170409,1719,11.450654029846191
1710847348.9967446,1723,4.25002384185791
1710847359.768075,1724,15.805500030517578
1710847396.7740984,1731,18.463743209838867
1710847478.422323,1740,18.18829917907715
1710847500.5415359,1744,26.09843635559082
1710847529.361358,1746,22.527484893798828
1710847610.5912714,1755,26.42986488342285
1710847699.5529256,1766,23.258657455444336
1710847805.6401072,1776,40.56785583496094
1710847815.1929958,1778,13.253314971923828
1710848122.6527972,1785,41.22550582885742
1710848126.6254683,1786,27.71914291381836
1710848150.4293358,1790,48.27806091308594
1710848183.8808362,1793,47.55060958862305
1710848236.16134,1801,28.048721313476562
1710848449.7877312,1820,43.61751174926758
1710848486.832843,1824,50.00181579589844
1710848560.5869598,1831,53.54656982421875
1710848632.9623725,1837,79.7905502319336
1710848682.3861575,1839,62.00761413574219
